Identifier,Label,Status,Description,Created,Modified,History notes,Type
1164,Adult placement registration,Live,Anyone who wishes to offer help under an adult placement scheme needs to be registered.,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Adult placement registration' in version 4.00.,Service
292,Adult residential care,Live,Residential or nursing home for elderly people and people with disabilities who are unable to manage at home.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Residential care' to 'Social services - residential care - adult' in version 3.00. Name changed to 'Adult residential care' in version 4.00.,Service
1165,Adventure activities licence,Live,A licence is required if you wish provide adventure activities for children under 18 years of age,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Adventure activities licence' in version 4.00.,Service
1082,Advertisement control,Live,Planning permission is required for certain types of advertisements and advertisements in specified areas. Copies of a Direction made under the relevant legislation must be kept open to inspection.,2013-04-03,2013-04-03,Name changed to 'Advertisement control' in version 4.00.,Service
700,Advice for young people,Live,"Integrated advice, guidance and access to personal development opportunities for young people aged between 13 and 19 to help them make a smooth transition to adulthood and working life",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes changed in version 3.00 for clarity. Term name changed from 'Advice for young people' to 'Children and young people - advice' in version 3.00. Name changed to 'Advice for young people' in version 4.00.,Service
349,Advice to businesses and voluntary organisations,Live,"Providing advice to new or existing businesses and voluntary organisations in the area on all aspects of running a business from starting a business to property, tax, employment law, business rates etc.",2013-03-04,2013-04-03,Label and description modified to include other assistance in April 2020,Service
162,Advocacy for carers,Live,"Advocacy on behalf of carers may include raising awareness of carers issues and helping to keep them on the agenda of all relevant agencies, setting out key values and principles for services to carers in the form of a local Carers Charter and improving the quality and increasing the availability of information to carers.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Advocacy for carers' to 'Carers - advocacy' in version 3.00. Name changed to 'Advocacy for carers in version 4.00. Scope notes revised in version 4.0.1.,Service
728,Advocacy for social care clients,Live,"Providing access to someone who can advocate on behalf of a social services client to ensure that they receive equal rights by writing letters, making phone calls, liaising with relevant agencies etc. on the clients behalf.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Updated scope notes to clarify service provision in version 3.00. Term name changed from 'Advocacy for social services clients' to 'Social services - advocacy for clients' in version 3.00. Name changed to 'Advocacy for social care clients' in version 4.00.,Service
1563,Aerials and satellite dishes,Live,In some areas (such as conservation areas) there is a restriction on placing satellite dishes and aerials on a dwelling. In such areas planning permission is required and the siting of the dish is bound by strict rules.,2010-10-20,2010-10-20,Added scope notes in version 3.11.,Service
1123,Affordable housing,Live,Housing provided at below market prices and allocated on the basis of need to people who live or work in the area or need to move to the local area to receive/provide support and who are unable to afford to purchase or rent houses generally available on the open market without financial assistance..,2013-04-03,2013-04-03,Name changed to 'Affordable housing' and scope notes revised in version 4.00.,Service
1463,Agricultural land maintenance,Live,Rural households may be exempted from a need to licence agricultural land in order to maintain an area and avoid properties becoming vacant.,2013-04-03,2013-04-03,Added in version 3.09.,Service
1446,Agricultural production subsidies,Live,"Grants may be provided to businesses engaged in agricultural production and/or livestock farming.  Typically grants may be for activities such as organic farming, keeping of rare breeds, milk and beef production subsidies, green agriculture.",2013-04-03,2013-04-03,Added in version 3.09.,Service
1455,Agricutural land licence,Live,"All acquisitions of real estate by inheritance, gift, purchase, and acquiring the right of use for longer than ten years, is subject to licensing.  Gifts from close family members are excluded from this requirement. ",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Agricultural land licence' in version 4.00.,Service
946,Air ambulance,Live,"The use of helicopters to transfer critically injured or ill patients who require the fastest, most direct route of transport to hospital.",2013-04-03,2013-04-03,Term name changed from 'Air ambulance' to 'Emergencies - air ambulance' in version 3.00. Name changed to 'Air ambulance' in version 4.00.,Service
1314,Air conditioning system energy assessor accreditation,Live,In order to carry out an energy efficiency inspection on air conditioning units an assessor must be an accredited Air Conditioning System Energy Assessor (ACSEA).,2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Air conditioning system energy assessor accreditation' in version 4.00.,Service
411,Air handling units,Live,Ventilation and air-conditioning systems which are poorly installed or maintained may be a health risk to the public.  The local authority can provide advice and guidance on all aspects of installation and can require that detailed plans are submitted for inspection prior to installation of new units.  This particularly applies to catering establishments.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Air handling units' in version 4.00.,Service
413,Air quality,Live,"Each council has responsibility for measuring the quality of ambient air to ensure that it meets required standards in relation to the concentration of a defined range of pollutants such as lead, nitrogen dioxide, benzene etc. The local authority is also required to keep a copy of any orders made under relevant legislation.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include maintaining the statutory register. Term name changed from 'Pollution control - air' to 'Pollution control - air quality' in version 3.00. Name changed to 'Air pollution' in version 4.00.,Service
938,Air rescue,Live,Rescue of victims of accidents and emergencies from locations not easily accessible by other means or in situations where transfer to hospital by conventional ambulance could risk the safety of a victim.  Air rescue can also provide direct transport to specialist units.,2013-04-03,2013-04-03,Term name changed from 'Air rescue' to 'Emergencies - air rescue' in version 3.00.  Scope notes extended in version 3.01.,Service
1166,Air traffic controller licence,Live,A licence is needed to act as an air traffic controller.,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Air traffic controller licence' in version 4.00.,Service
1167,Air traffic services licence,Live,A licence is required to operate air traffic control and other air services,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Air traffic services licence' in version 4.00.,Service
1168,Air travel organiser's(ATOL) licence,Live,A licence is required in order to operate as an air travel operator,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Air travel organiser's (ATOL) licence' in version 4.00.,Service
1169,Aircraft maintenance engineer licence,Live,A licence is required to operate as an aircraft maintenance engineer authorised to release non EASA aircraft to service,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Aircraft maintenance engineer licence' in version 4.00.,Service
1497,Airline pilot licence,Live,A pilots licence is required in order to fly a private plane.  Usually there are restrictions on the size of plane which can be flown under such a licence and the holder is not permitted to carry fare paying passengers.,2010-10-14,2010-10-14,Added scope notes in version 3.11. Name changed to 'Airline pilot licence' in version 4.00.,Service
1170,Airport fire officer certificate,Live,In order to work as an airport fire officer at an airport a certificate of competence is required. In the UK certificates are issued by the Civil Aviation Authority.,2013-04-03,2013-04-03,Added in version 3.07,Service
1171,Airport firefighter certificate,Live,In order to work as an airport firefighter at an airport a certificate of competence is required. In the UK certificates are issued by the Civil Aviation Authority.,2013-04-03,2013-04-03,Added in version 3.07,Service
1600,Alarm notification area,Live,The council can declare any part of their area as an alarm notification area.  Anyone who has an intruder alarm fitted to their property (business or residential) is required by law to nominate a key holder and notify the council of their details.,2013-03-04,2019-05-16,Update to name and description in March 2016 review,Service
727,Alcohol advice and support,Live,This service provides counselling advice and support for people affected by alcohol abuse/dependency.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Alcohol advisory service' to 'Social services - alcohol - advice and support' in version 3.00. Name changed to 'Alcohol advice and support' in version 4.00.,Service
657,Alley gating,Live,This service provides installation of security gates across footpaths and alleyways in residential areas and housing estates in order to combat crime.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Alley gating' to 'Community safety - lane gating' in version 3.00. Name changed to 'Alley gating' in version 4.00.,Service
86,Allocated council homes,Live,The local authority will allocate vacant properties according to priority on the housing register and suitability for the available property. New tenants will be required to sign a tenancy agreement prior to occupation of a property.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing allocations - allocated council home/lettings' to 'Housing - allocations - allocated council homes' in version 3.00. Name changed to 'Allocated council homes' in version 4.00.,Service
1425,Allocated parking spaces,Live,According to the size of the plot it may be a requirement that a property has a specified number of allocated parking places.,2013-04-03,2013-04-03,Added in version 3.09.,Service
510,Allotments,Live,"Plots of land for use to grow vegetables, fruit and flowers available for rent by local citizens.  Water supplies, sheds/storage and skips are usually provided on allotment sites, car parking may also be available.  The authority will determine the regulations concerning the use of allotments and is responsible for ensuring adequate security (fences etc.) is provided.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Conservation and urban design planning - allotments' to 'Planning - allotments' in version 3.00. Name changed to 'Allotments' in version 4.00.,Service
732,Alternative care providers,Live,"Independent agencies who provide care for adults and children within the local area.  Care agencies may provide any from the range of care services such as residential care, care at home, sheltered housing and day care.  The council may use these agencies to provide care services.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Alternative providers of care' to 'Care - alternative providers' in version 3.00. Name changed to 'Alternative care providers' in version 4.00.,Service
1765,Alternative provision of education,Live,"Alternative provision is for pupils who can not attend mainstream school for a variety of reasons, such as school exclusion, behaviour issues, short or long-term illness, school refusal or teenage pregnancy.  Alternative provision may be in a special school, a pupil referral unit, alternative learning unit in school or provided by the council or with independent specialist providers.",2016-09-12,2019-05-16,Added in March 2016 review of legislation,Service
1803,Alternative therapies and treatments,Live,Therapies and treatments provided by private clinics and therapists outside the NHS,2019-05-16,2019-05-16,Added in May 2019.,Service
1172,Analytical chemist registration,Live,"""Maintains and publishication of a register of analytical chemists who have attained a prescribed level of qualification.
In the UK the register is maintained by the Royal Society of Chemistry""@en",2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Analytical chemist regisatration' in version 4.00.,Service
1774,Animal by-products enforcement,Live,"The local authority is responsible for ensuring that anyone in the area who works with animal by-products complies with regulations including those on how to process, transport, store and dispose of such products.",2016-09-12,2016-09-12,Added in March 2016 review of legislation,Service
1173,Animal by-products licence,Live,"Approval is needed to collect, transport, store, process, dispose of, market or export animal by-products",2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Animal by-products licence' in version 4.00.,Service
1823,Animal health,Live,"Trading standards are responsible for monitoring and investigating animal health and welfare of livestock (particularly at markets and during transport) within the council area, ensuring animals are treated correctly and not caused unnecessary suffering.",2020-04-28,2020-04-28,Service added in 2019 review of trading standards,Service
772,Animal importation,Live,In order to ensure that animal diseases are not imported controls are in place which rely primarily on imported animals being accompanied by health certification and being subject to post-import veterinary inspection. Implementation of import regulations is the responsibility of the port authority into which the animals are imported.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes revised in version 3.00 to clarify service responsibility. Term name changed from 'Importation of animals' to 'Ports of entry - animals - importation' in version 3.00. Name changed to 'Animal importation' in version 4.00.,Service
788,Animal inspection,Live,"Local authorities inspect farms and land to: prevent outbreaks of animal disease, prevent environmental pollution, check farmers comply with regulations, provide advice at the request of farmers and to investigate complaints",2013-03-04,2013-04-03,Description updated in April 2020 review,Service
1249,Animal medicines and medicated feed registration,Live,In order to sell animal medicines and medicated feeding stuffs you need to be qualified and registered,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Animal medicines and medicated feed registration' in version 4.00.,Service
1174,Animal transport licence,Live,If you transport animals in connection with an economic activity for distances over 65 km (approx 40 miles) you will need a valid transporter authorisation.,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Animal transport licence' in version 4.00.,Service
1175,Animal transport vehicle licence,Live,Vehicles used for transporting animals on long journeys (those in excess of 8 hours) must be inspected and approved by the competent authority,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Animal transport vehicle licence' in version 4.00.,Service
434,Animal welfare,Live,"The animal welfare sections responds to both reports from the public, and undertakes proactive patrols. The aims of the service are to protect local wildlife, to prevent nuisance from pet animals or from the keeping or boarding of pet animals and to reduce the risk to animal health arising from commercial keeping of pet or similar non-livestock animals.",2013-03-04,2013-04-03,Description updated in April 2020 review,Service
1176,Animals (scientific procedures) licence,Live,"To undertake scientific procedures involving animals, a vet needs a licence.",2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Animals (scientific procedures)licence' in version 4.00.,Service
1177,Anti-money laundering registration,Live,"""In order to prevent money laundering certain types of business must be registered with the relevant authority.
In the UK HMRC is responsible for supervising Money Service Businesses (MSBs) High Value Dealers (HVDs) Accountancy Service Providers (ASPs) Trust or Company Service Providers (TCSPs)""@en",2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Anti-money laundering registration' in version 4.00.,Service
1483,Anti-social behaviour  - solvent abuse,Live,Police and partner agencies deal with reported incidents of noise and rowdy behaviour in public places resulting from solvent abuse,2013-04-03,2013-04-03,Added in version 3.11.,Service
1480,Anti-social behaviour - begging and vagrancy,Live,Police and partner agencies deal with reported incidents of begging and vagrancy in the local area,2013-04-03,2013-04-03,Added in version 3.11.,Service
1481,Anti-social behaviour - hoax or false calls to emergency services,Live,Police and partner agencies deal with hoax calls made to emergency services.,2013-04-03,2013-04-03,Added in version 3.11.,Service
1484,Anti-social behaviour - inconsiderate or nuisance,Live,Police and partner agencies deal with reported incidents of noise and rowdy behaviour in public places which is causing a nuisance to other members of the public,2013-04-03,2013-04-03,Added in version 3.11.,Service
1482,Anti-social behaviour - malicious or nuisance communication,Live,Police and partner agencies deal with reported incidents malicious or nuisance communication to members of the public,2013-04-03,2019-01-25,Added in version 3.11.,Service
1485,Anti-social behaviour - neighbour nuisance,Live,Police and partner agencies deal with incidents of noise and rowdy behaviour in private property which is causing a nuisance to neighbours,2013-04-03,2013-04-03,Added in version 3.11.,Service
1486,Anti-social behaviour - street drinking,Live,Police and partner agencies deal with incidents of noise and rowdy behaviour as a result of street drinking,2013-04-03,2013-04-03,Added in version 3.11.,Service
1487,Anti-social behaviour - vehicle,Live,Police and partner agencies deal with incidents of noise and rowdy behaviour involving vehicles,2013-04-03,2013-04-03,Added in version 3.11.,Service
1178,Approval of course leading to external qualification,Live,In order to run a course leading to an external qualification for the purpose of funding or provision on behalf of a maintained school you must have obtained approval from the appropriate authority,2013-04-03,2013-04-03,Added in version 3.07,Service
1180,Approval of meat plants with veterinary attendance,Live,"Any premises where meat is packaged or processed which is co-located with a slaughterhouse requires an approved premises licence 
In the UK licences are issued by the Food Standards Agency (FSA)",2013-04-03,2013-04-03,Added in version 3.07,Service
369,Approved suppliers,Live,An approved list of suppliers and or contractors is maintained and is amended as required from time to time by the local authority. Local businesses may apply to be placed on the list of approved suppliers for work to be carried out for or on behalf of the council,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Approved suppliers' to 'Council - approved suppliers' in version 3.00. Name changed to 'Approved suppliers' in version 4.00.,Service
618,Archaeological consultancy,Live,"Provision of archaeological services and consultancy to both commercial and public sector clients in the local area. May offer talks, exhibitions to the public and to local schools.",2013-04-03,2019-01-25,Added scope notes in version 2.02. Term name changed from 'Archaeological consultancy' to 'Archaeology - consultancy' in version 3.00. Name changed to 'Archaeological consultancy' 25/01/2019.,Service
619,Archaeological excavations and surveys,Live,Protection and conservation of historic sites which includes advising on planning proposals for new developments where the development may impact on archaeological sites and monuments.,2013-04-03,2019-01-25,Added scope notes in version 2.02. Term name changed from 'Archaeological excavations and surveys' to 'Archaeology - excavations and surveys' in version 3.00. Name changed to 'Archaeological excavations and surveys' 25/01/2019.,Service
1181,Architect registration,Live,You need to be registered with the relevant organisation(s) in order to practice as an architect,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Architect registration' in version 4.00.,Service
604,"Archive loans, donations, bequests and sales",Live,"Information of local interest which is available for viewing by the community are often donated, bequeathed or loaned to the records office by local residents and historians.  The local authority should have a standard agreement which is used to details terms of the loan or donation.",2013-04-03,2013-04-03,"Added scope notes in version 2.02. Term name changed from 'Loans, donations, bequests and sale to the Records Office' to 'Archives - loans, donations bequests and sales' in version 3.00. Name changed to 'Archive loans, donations, bequests and sales' in version 4.00.",Service
605,Archive withdrawals,Live,"A depositor may permanently withdraw their records at any time, provided notice is given to the Record Office. During this period of notice, the local authority reserves the right to copy the records and to make these copies available for private research",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Withdrawal of records' to 'Archives - withdrawals' in version 3.00. name changed to 'Archive withdrawals' in version 4.00.,Service
448,Archives,Live,"Archives are original documents produced by official bodies, societies and individuals that are no longer in current use. The council may provide a way for local residents and business to view their archives, often in a local library.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Archives' to 'Archives - general information' in version 3.00. Name changed to 'Archives' in version 4.00.,Service
606,Archives - access,Live,Records will be made available to the public for research during the advertised opening hours of the record office and in accordance with the search room rules.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Access to records' to 'Archives - access' in version 3.00.,Service
1034,Archives - enquiries,Live,"The council keeps archives of documents relating to the local area.  These may include parish registers, maps and plans, council minutes and other historic documents providing an insight into the history of the area.  Visitors are usually able to make enquiries of the archives in person (online or by visiting the archive office) or using a research service provided by the council for which a charge is normally made.",2013-04-03,2013-04-03,Scope notes updated in version 3.01.,Service
877,Area waste strategy,Live,"The Aim of an Area Waste Plan (AWP) is to contribute to the sustainable development of the area by developing waste management systems that will control waste generation, reduce its environmental impact, improve resource efficiency, stimulate investment and maximise the economic opportunities arising from waste. The AWP covers all types of waste (household, commercial, industrial) but initially focuses on municipal waste (MW).",2013-04-03,2013-04-03,Scope notes revised in version 3.00 to clarify council responsibility. Term name changed from 'Municipal waste strategy' to 'Refuse - area waste strategy' in version 3.00. Name changed to 'Area waste strategy' in version 4.00.,Service
1654,Armed forces community covenant,Live,The aim of the community covenant is to encourage local communities to support the service community in their area and promote understanding and awareness among the public of issues affecting the armed forces community.,2013-09-27,2013-09-27,"Added in version 4.0.1 to the English hand welsh, local government service list.",Service
1560,Armed forces recruitment,Live,Persons who wish to serve as volunteer in the army must apply to complete the application form at their municipal administration.,2010-10-20,2010-10-20,Added scope notes in version 3.11.,Service
1603,Arson investigation,Live,Investigation of the cause of fires where arson is suspected.,2013-04-03,2013-04-03,Added in version 4.00.,Service
800,Arson reduction,Live,Advice on measures which can be taken by businesses and residents to reduce the likelihood of arson on their premises.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Arson reduction' to 'Fire and rescue - arson reduction' in version 3.00. Name changed to 'Arson reduction' in version 4.00.,Service
1372,Art commissions,Live,A local administration may commission works of art from local or other artists for display in public buildings or other art exhibitions in the area.,2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Art commissions' and scope notes updated in version 4.00.,Service
1182,Artificial reproduction of animals licence,Live,"To conduct artificial insemination or embryo transfer in livestock, operators and/or premises require approval.",2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Artificial reproduction of animals licence' in version 4.00.,Service
1791,Arts  and creative classes,Live,Creative arts classes enabling local residents the opportunity to discover and/or develop their creative potential,2017-05-08,2017-05-08,Added in March 2017.,Service
884,Arts development,Live,"Support and development of arts in the local community.  This is typically achieved by  by giving residents the opportunity to take part in arts activities and  also by providing information and support to local artists, arts groups and members of the public. The local authority may run arts projects in the community and work with local artists and other groups to plan future arts activity.",2013-04-03,2013-04-03,Term name changed from 'Arts development' to 'Arts - development' in version 3.00. Name changed to 'Arts development' and scope notes revised in version 4.00.,Service
838,Arts organisations and events,Live,"Provision of information and advice on local arts organisations, exhibitions and events.",2013-04-03,2013-04-03,"Added scope notes in version 2.02. Term name changed from 'General arts information (inc. location, events)' to 'Arts - information' in version 3.00. Name changed to 'Arts organisations and events' in version 4.00.",Service
415,Asbestos management,Live,Residents and business may be given advice on what to do if they believe asbestos may be present in a building.  Council inspectors may visit the premises to confirm the presence of asbestos and advise on procedures for removal and disposal.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Asbestos management' in version 4.00. ,Service
1183,Asbestos removal licence,Live,A licence is required to carry out work with asbestos.,2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Asbestos removal licence' in version 4.00.,Service
1350,Assembly centre approval,Live,"Anyone wishing to bring animals from a number of farms onto premises prior to export, will need to be approved as an assembly centre/assembly market. There are strict rules governing the approval of assembly centres/assembly markets and the way in which they are supervised and operated.",2013-04-03,2013-04-03,Added in version 3.10. Name changed to 'Assembly centre approval' in version 4.00.,Service
147,Assisted garden maintenance,Live,Garden maintenance for elderly (aged 60 or over) or disabled tenants who are not capable of doing the work themselves.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Garden maintenance' to 'Social services - garden maintenance' in version 3.00. Name changed to 'Assisted garden maintenance' in version 4.00.,Service
1537,Asylum seekers - change of address,Live,"An asylum seeker who has exhausted all legal procedures but has not left the country, can notify the municipal authority of change of address. However, the new address cannot be used on any document and no certificates can be provided.  The notification is of value because the person concerned does not disappear completely illegally and remains accountable before the authorities. ",2010-10-20,2010-10-20,Added scope notes in version 3.11.,Service
77,Asylum seekers and refugee support,Live,"Provision of temporary accommodation, meals and other advice and support for asylum seekers waiting for an application for refugee status to be assessed by the government and for refugees.",2013-03-04,2013-04-03,Label and description modified to include other assistance in April 2020,Service
1380,Asylum seekers travel permit,Live,A travel permit (sometimes known as a refugee passport) is issued to residents in a country who are not entitled to a full passport because they do not have  citizenship and who are recognised as refugees or asylum seekers.,2013-04-03,2013-04-03,Added in version 3.09. Scope notes updated in version 4.00.,Service
1474,Attending arson incidents,Live,Fire and rescue services will attend and deal with reported incidents of arson or suspected arson.,2013-04-03,2013-04-03,Added in version 3.11. Name changed to 'Attending arson incidents' in version 4.00.,Service
