Identifier,Label,Status,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped status,Mapped type
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,580,Litter removal,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,1744,Residential waste spillages,Live,Service
88,Clean streets,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108|122,Good living environment|Business support,Business support,,is addressed by,582,Street cleaning,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,787,Consumer advice,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,789,Fair trading,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,791,Food labelling,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,408,Food poisoning and contamination,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,407,Food safety enforcement,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,399,Illegal street trading,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,402,Product safety,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,1742,Public weighbridges,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,403,Retail trading standards,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,1597,Swimming pool and spa pool monitoring,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,1127,Trader approval schemes,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,401,Trading standards advice to businesses,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,1110,Trading standards education,Discontinued,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,1125,Under age sales,Live,Service
87,Consumer protection,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122|108,Business support|Good living environment,Business support,,is addressed by,404,Weights and measures,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,1618,Business centres,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,887,Careers advice,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,337,Current vacancies,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,1534,Employment and support allowance,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,343,Employment and training initiatives,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,846,Environmental health placements,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,344,Equal opportunities advice,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,1545,Jobseekers allowance,Live,Service
11,Employment,Live,,2013-03-04,2013-03-04,,Need,122|107|9,Business support|Financial security|Financial support,Business support,,is addressed by,638,Sports employment,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,190,Benefits advice and assessment,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1437,Carers allowance,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1676,Child poverty needs assessment,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,64,Council tax benefit current claim,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,63,Council tax benefit new claim,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,59,Council tax discount,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,60,Council tax exemptions,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,352,Credit unions,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,137,Disabled facilities grant,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1148,Discretionary Housing Payment,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,888,Early years grant,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1534,Employment and support allowance,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,4,Free school meals,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,70,Housing benefit current claim,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,69,Housing benefit new claim,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1545,Jobseekers allowance,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,269,Keeping warm in winter,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1795,Local crisis payment,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1147,Local Housing Allowance,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,50,Nursery education grant,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,2,School clothing grants/vouchers,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,3,School transport - additional support,Discontinued,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1056,Special provision capital fund,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1826,Test and Trace Support Payment,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1652,Universal credit,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,189,Welfare rights advice,Live,Service
9,Financial support,Live,,2013-03-04,2013-03-04,,Need,107|122,Financial security|Business support,Business support,,is addressed by,1116,Youth Opportunity Fund,Live,Service
86,Health and safety at work,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,429,Accident reporting,Live,Service
86,Health and safety at work,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,811,Construction site fire safety,Live,Service
86,Health and safety at work,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,419,Health and safety regulation,Live,Service
86,Health and safety at work,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,422,Health and safety training,Live,Service
86,Health and safety at work,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,718,Occupational health services,Discontinued,Service
86,Health and safety at work,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,752,Work health and safety advice and training,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,785,Abnormal load notification,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,650,Accommodation certificates,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,681,Acupuncturist registration,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,379,Auction premises licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,374,Boarding animals licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,741,Boatman's licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,383,Building materials licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,743,Caravan site licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,48,Child performance licences,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1069,Children's certificate,Discontinued,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1296,Civil marriage and civil partnership venue licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1683,Club gaming permit,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1684,Club machine permit,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,646,Club premises certificate,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1355,"Consent for cellars, pavement lights and ventilators under street",Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,707,Cooling tower registration,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,376,Dangerous animals licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,377,Dog breeding licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1328,Dry cleaning permit,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1729,Dual drivers licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1692,Early morning restrictions orders,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,796,Explosives licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1681,Family entertainment centre gaming machine permits,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,617,Farmers markets,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,426,Firework safety advice,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,384,Fireworks sales licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,390,Food business registration,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1293,Food premises approval,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,845,Food safety advice,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1134,Gambling premises licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1682,Gambling premises temporary use notices,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1357,Greyhound racing track licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,635,Hackney carriage (taxi) drivers licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,632,Hackney carriage (taxi) licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1655,Highway planting licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,744,Highway projection licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,898,Homes in multiple occupancy licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,648,House to house collection licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,391,Late night catering licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1348,Leaflet distribution consent,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1354,"Licence for bridges, buildings, beams and cables over or along highway",Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1687,Licensed premises gaming machine permit,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,782,Local markets,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,397,Lottery licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,679,Market event licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,616,Market stall rental,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,389,Massage and special treatment licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1294,Massage and special treatments therapist registration,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,866,Motor salvage operator registration,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1717,Moveable dwelling site licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1077,Performing animals licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1048,Permission to film and photograph,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1049,Permission to host events,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,910,Personal alcohol and entertainment licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,375,Pet shop licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1329,Petrol vapour recovery regulation,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,810,Petroleum storage licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,697,Petroleum storage licence/certificate,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1335,Pig movement notification,Discontinued,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,739,Pleasure boat licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,380,Poisons licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,708,Pollution control - Part A(2) and Part B processes,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,860,Premises licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,634,Private hire drivers licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,636,Private hire operators licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,633,Private hire vehicle (minicab) licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1685,Prize gaming permit,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1038,Registering business premises,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,696,Riding establishment licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,382,Scaffolding and hoarding licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,378,Scrap metal site registration,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,682,Second hand dealer registration,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1691,Selective area housing licences,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1690,Selective housing areas,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,740,Self drive boats licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,388,Sex establishment licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,706,Sheep and goat movement licence,Discontinued,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,695,Skip operator licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,521,Skip permits,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1330,Solvent emissions regulation,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,842,Sports grounds safety certificate,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1256,Sports stands safety certificate,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1160,Stage hypnotism licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,742,Street cafŽ licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,647,Street collection licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1580,Street parties permission,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,400,Street trading licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1295,Street works licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,678,Sunday trading notification,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,680,"Tattooist, piercing and electrolysis registration",Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1126,Taxi fare setting,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1071,Temporary event notice,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,844,Track betting licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1686,Track gambling premises occasional use notices,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1362,Verges permitted use,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,387,Voluntary sector transport licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,318,Wedding venue licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,843,Weighbridge operator licence,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1705,Workplace parking levy,Live,Service
123,Licences and permits,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,699,Zoo licence,Live,Service
90,Parking,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,118|122,Mobility|Business support,Business support,,is addressed by,478,Council car parks,Live,Service
90,Parking,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,118|122,Mobility|Business support,Business support,,is addressed by,274,Disabled parking bays,Live,Service
90,Parking,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,118|122,Mobility|Business support,Business support,,is addressed by,279,Disabled parking permits,Live,Service
90,Parking,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,118|122,Mobility|Business support,Business support,,is addressed by,114,Estate parking,Live,Service
90,Parking,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,118|122,Mobility|Business support,Business support,,is addressed by,1725,Lorry parking,Live,Service
90,Parking,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,118|122,Mobility|Business support,Business support,,is addressed by,1112,Park and ride,Live,Service
90,Parking,Live,,2017-01-04,2017-01-04,Added in April 2017 review,Need,118|122,Mobility|Business support,Business support,,is addressed by,474,Parking permits,Live,Service
